protein1	protein2	locs1	locs2	sizes	category
Q7Z6J8	Q96CS4	Cytoplasm	Nucleus	1|1	bothSingle
P39019	Q86XD8	Cytoplasm,Nucleus	none	2|1	oneMulti
P08514	Q9P0P0	Membrane	none	1|1	bothSingle
O75581	P00441	Cell membrane,Endoplasmic reticulum,Membrane	Cytoplasm,Nucleus	3|2	bothMulti
Q9NX18	Q9Y5N5	Mitochondrion	Nucleus	1|1	bothSingle
Q0VD86	Q9BTV6	Cytoplasm,Nucleus	none	2|1	oneMulti
Q92636	Q9UL54	none	Cell projection,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Membrane,Nucleus	1|6	oneMulti
P05386	P05388	none	Cytoplasm,Nucleus	1|2	oneMulti
O60603	P31371	Cytoplasmic vesicle,Membrane	Secreted	2|1	oneMulti
Q9P227	Q9Y483	none	Nucleus	1|1	bothSingle
P24844	Q7Z406	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
Q64LD2	Q9BRD0	none	Nucleus,Spliceosome	1|2	oneMulti
Q12982	Q7Z769	Cytoplasm	Membrane	1|1	bothSingle
P40939	Q92560	Membrane,Mitochondrion,Mitochondrion inner membrane	Cytoplasm,Nucleus	3|2	bothMulti
Q8IWT0	Q92499	none	Cytoplasm,Mitochondrion,Nucleus	1|3	oneMulti
Q8WV44	Q9NWQ4	Cytoplasm,Nucleus	none	2|1	oneMulti
P11362	P55075	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Membrane,Nucleus	Secreted	5|1	oneMulti
P51610	Q9HCI7	Cytoplasm,Nucleus	none	2|1	oneMulti
Q9NR12	Q9ULV8	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
O60542	O60609	Secreted	Cell membrane,Membrane	1|2	oneMulti
O75911	Q6UWP2	Membrane	Secreted	1|1	bothSingle
P26022	Q6UVY6	Secreted	Endoplasmic reticulum,Membrane	1|2	oneMulti
P63172	Q8N7M0	Cytoplasm,Cytoskeleton,Dynein,Golgi apparatus,Microtubule	none	5|1	oneMulti
A6NMX2	Q13542	none	Cytoplasm,Nucleus	1|2	oneMulti
A8MQ03	P21333	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
A0A1W2PPE2	Q92750	none	Cytoplasm,Nucleus	1|2	oneMulti
Q16816	Q16821	none	Membrane	1|1	bothSingle
O95292	Q5VTQ0	Endoplasmic reticulum,Membrane	none	2|1	oneMulti
P17509	Q86V86	Nucleus	Cytoplasm	1|1	bothSingle
A0PJX0	Q8TDI7	none	Cell membrane,Membrane	1|2	oneMulti
Q8NFD5	Q9NX31	Nucleus	none	1|1	bothSingle
Q7Z4Q2	Q8TBP5	none	Membrane	1|1	bothSingle
Q7Z4Q2	Q9Y2C4	none	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
P39023	Q6ZNB6	Cytoplasm,Nucleus	Membrane	2|1	oneMulti
O95865	Q6P4R8	Cytoplasm,Mitochondrion	Nucleus	2|1	oneMulti
P05386	P25398	none	Cytoplasm,Nucleus	1|2	oneMulti
P13224	Q8TD86	Membrane	Cytoplasm,Nucleus	1|2	oneMulti
Q8N3C7	Q8NC26	none	Nucleus	1|1	bothSingle
P01889	P40933	Cell membrane,Endoplasmic reticulum,Membrane,MHC I	Cytoplasm,Nucleus,Secreted	4|3	bothMulti
P28715	P78562	Chromosome,Nucleus	Cell membrane,Membrane	2|2	bothMulti
Q8TAU3	Q9NRD5	Nucleus	Cytoplasm,Cytoskeleton,Membrane,Synapse,Synaptosome	1|5	oneMulti
O43318	P05412	Cell membrane,Cytoplasm,Membrane	Nucleus	3|1	oneMulti
Q13523	Q9HCE6	Nucleus,Spliceosome	Cytoplasm	2|1	oneMulti
Q9UII2	Q9Y3U8	Mitochondrion	Cytoplasm	1|1	bothSingle
O43639	Q07889	Cytoplasm,Endoplasmic reticulum	none	2|1	oneMulti
O75164	P29323	Nucleus	Cell membrane,Cell projection,Membrane	1|3	oneMulti
P01042	P06870	Secreted	none	1|1	bothSingle
P51668	P63208	Cytoplasm	none	1|1	bothSingle
Q8N488	Q9H7E9	Cytoplasm,Nucleus	none	2|1	oneMulti
Q4G0X4	Q96SI1	none	Nucleus	1|1	bothSingle
P36578	Q8TDN6	Cytoplasm	Nucleus	1|1	bothSingle
O43320	P23229	Secreted	Cell membrane,Membrane	1|2	oneMulti
P36542	Q8NHQ9	CF(1),Membrane,Mitochondrion,Mitochondrion inner membrane	none	4|1	oneMulti
Q15742	Q9Y490	Nucleus	Cell junction,Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Membrane	1|6	oneMulti
A6NNY8	Q5T6C5	Cytoplasm,Nucleus	none	2|1	oneMulti
A8MWY0	P0CG40	Cell membrane,Membrane	Nucleus	2|1	oneMulti
Q8N140	Q9UNF1	Chromosome,Cytoplasm,Nucleus,Telomere	none	4|1	oneMulti
P01127	P09619	Secreted	Cell membrane,Cytoplasmic vesicle,Lysosome,Membrane	1|4	oneMulti
O60294	P10109	none	Mitochondrion	1|1	bothSingle
O00151	Q08043	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
Q6UVK1	Q9Y6C2	Cell membrane,Cell projection,Membrane	Extracellular matrix,Secreted	3|2	bothMulti
P01570	P17181	Secreted	Cell membrane,Endosome,Lysosome,Membrane	1|4	oneMulti
P34998	Q8WXD9	Cell membrane,Endosome,Membrane	Cytoplasm	3|1	oneMulti
P11686	P60059	Secreted,Surface film	Endoplasmic reticulum,Membrane	2|2	bothMulti
Q14161	Q9Y2X7	none	Cell junction,Cell projection,Cytoplasm,Cytoskeleton,Synapse	1|5	oneMulti
P00734	P07204	Secreted	Membrane	1|1	bothSingle
Q8N140	Q96JG8	Chromosome,Cytoplasm,Nucleus,Telomere	none	4|1	oneMulti
P20674	Q9HAZ2	Membrane,Mitochondrion,Mitochondrion inner membrane	Cytoplasm,Nucleus	3|2	bothMulti
P09341	Q9ULY5	Secreted	Cell membrane,Cell projection,Membrane	1|3	oneMulti
O76021	P62424	Nucleus	Cytoplasm	1|1	bothSingle
O43240	Q5BKY1	Secreted	Nucleus	1|1	bothSingle
O94830	Q9Y6Y8	Cytoplasm,Golgi apparatus	Cytoplasmic vesicle,Endoplasmic reticulum,Membrane	2|3	bothMulti
Q9BQ90	Q9BST9	Cytoplasm	none	1|1	bothSingle
A8MT70	Q96C74	none	Cell projection,Cilium,Flagellum	1|3	oneMulti
O00230	O95751	Secreted	Nucleus	1|1	bothSingle
P16619	Q9HBE5	Secreted	Membrane	1|1	bothSingle
P61278	P62873	Secreted	none	1|1	bothSingle
P50150	Q9HAV0	Cell membrane,Membrane	none	2|1	oneMulti
Q05D32	Q12965	none	Cell junction,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton	1|4	oneMulti
A6NIK2	Q9Y2I2	none	Cell membrane,Membrane	1|2	oneMulti
Q7Z3E1	Q96A49	Nucleus	Cell membrane,Cell projection,Cytoplasm,Golgi apparatus,Membrane,Postsynaptic cell membrane,Synapse	1|7	oneMulti
O75157	Q99576	none	Cytoplasm,Nucleus	1|2	oneMulti
P78364	Q9UJX2	Nucleus	none	1|1	bothSingle
Q52LA3	Q6MZP7	none	Nucleus	1|1	bothSingle
A6NLC8	Q8IZX4	none	Nucleus	1|1	bothSingle
Q8N431	Q9UBS3	none	Endoplasmic reticulum	1|1	bothSingle
P27487	P31942	Cell junction,Cell membrane,Cell projection,Membrane,Secreted	Nucleus	5|1	oneMulti
Q5VXI9	Q9HBH5	Secreted	none	1|1	bothSingle
Q86SE5	Q9C026	none	Cell projection,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Synapse	1|5	oneMulti
Q68CZ1	Q8NG66	Cell junction,Cell projection,Cilium,Cytoplasm,Cytoskeleton,Tight junction	Nucleus	6|1	oneMulti
P18124	Q14197	Cytoplasm	Mitochondrion	1|1	bothSingle
P08246	P49913	Cytoplasmic vesicle	Secreted	1|1	bothSingle
Q4VC05	Q92785	none	Cytoplasm,Nucleus	1|2	oneMulti
P62873	Q9UBI6	none	Cell membrane,Membrane	1|2	oneMulti
P02585	Q8WXR4	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
P61077	P63208	Cell membrane,Endosome,Membrane	none	3|1	oneMulti
P11362	P31371	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Membrane,Nucleus	Secreted	5|1	oneMulti
P01286	Q02643	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q9NY64	Q9UBS3	Cell membrane,Cytoplasmic vesicle,Membrane	Endoplasmic reticulum	3|1	oneMulti
A0AVI4	P51668	Endoplasmic reticulum,Membrane	Cytoplasm	2|1	oneMulti
Q8NBP0	Q8WWF1	none	Secreted	1|1	bothSingle
P14649	Q9Y623	none	Cytoplasm,Thick filament	1|2	oneMulti
Q0PNE2	Q96EB1	none	Cytoplasm,Nucleus	1|2	oneMulti
P05387	P05388	none	Cytoplasm,Nucleus	1|2	oneMulti
P50897	Q68DK2	Lysosome,Secreted	Cytoplasm,Cytoskeleton	2|2	bothMulti
Q8N1F8	Q8WUZ0	Cytoplasm	none	1|1	bothSingle
P35658	Q9H1M0	Nuclear pore complex,Nucleus	none	2|1	oneMulti
P51684	Q8NHW4	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q16513	Q6NXS1	Cell junction,Cell projection,Cytoplasm,Cytoskeleton,Membrane,Nucleus	none	6|1	oneMulti
P50897	Q14194	Lysosome,Secreted	Cell projection,Cytoplasm,Cytoskeleton	2|3	bothMulti
P61081	P62877	none	Cytoplasm,Nucleus	1|2	oneMulti
Q6P1S2	Q96M20	Membrane,Secreted	Cytoplasm	2|1	oneMulti
O60519	Q99757	Nucleus	Mitochondrion	1|1	bothSingle
P10109	P10632	Mitochondrion	Endoplasmic reticulum,Membrane,Microsome	1|3	oneMulti
B4E2M5	P13224	none	Membrane	1|1	bothSingle
Q86YC2	Q9NUJ1	Nucleus	Mitochondrion	1|1	bothSingle
O43295	Q9P2N4	none	Endoplasmic reticulum,Extracellular matrix,Secreted	1|3	oneMulti
Q7Z449	Q9C086	Endoplasmic reticulum,Membrane,Microsome,Mitochondrion,Mitochondrion inner membrane	Nucleus	5|1	oneMulti
O15041	P51805	Secreted	Cell membrane,Membrane	1|2	oneMulti
A6NFE3	Q86UC2	none	Cell projection,Cilium,Cytoplasm,Cytoskeleton,Flagellum	1|5	oneMulti
Q15424	Q6EMK4	Nucleus	Membrane,Secreted	1|2	oneMulti
O00468	Q9NX38	Cell membrane,Extracellular matrix,Membrane,Secreted,Synapse	Cell projection,Nucleus	5|2	bothMulti
Q04656	Q15118	Cell membrane,Cell projection,Cytoplasm,Endoplasmic reticulum,Endosome,Golgi apparatus,Membrane,Synapse	Mitochondrion	8|1	oneMulti
P08246	Q8IW75	Cytoplasmic vesicle	Secreted	1|1	bothSingle
P08246	P08697	Cytoplasmic vesicle	Secreted	1|1	bothSingle
P29322	Q5HYI8	Cell membrane,Cell projection,Endosome,Membrane	none	4|1	oneMulti
O15264	P10636	none	Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Membrane,Microtubule,Secreted	1|7	oneMulti
P30154	Q9UL03	none	Nucleus	1|1	bothSingle
P55211	P55212	none	Cytoplasm,Nucleus	1|2	oneMulti
Q6PID6	Q9UIE0	none	Nucleus	1|1	bothSingle
Q96L46	Q9UMQ6	Cell membrane,Cytoplasm,Membrane	Cytoplasmic vesicle	3|1	oneMulti
Q8WXI2	Q9BYL1	Cytoplasm,Membrane	none	2|1	oneMulti
O00626	P51681	Secreted	Cell membrane,Membrane	1|2	oneMulti
P53675	Q02878	Coated pit,Cytoplasmic vesicle,Membrane	Cytoplasm,Endoplasmic reticulum	3|2	bothMulti
O00762	Q14781	none	Chromosome,Nucleus	1|2	oneMulti
Q15582	Q8TF66	Amyloid,Extracellular matrix,Secreted	Cell membrane,Membrane	3|2	bothMulti
O94985	Q6P597	Cell membrane,Cell projection,Endoplasmic reticulum,Golgi apparatus,Membrane,Nucleus,Postsynaptic cell membrane,Synapse	Cytoplasm,Cytoskeleton,Microtubule,Mitochondrion	8|4	bothMulti
Q9UJY1	Q9Y2H0	Cytoplasm,Nucleus	Membrane	2|1	oneMulti
P12829	Q8WXR4	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
P58005	Q96S15	Cytoplasm	Lysosome,Membrane	1|2	oneMulti
Q8N720	Q9UI08	Nucleus	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
P43357	Q8WV22	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
Q6ZS72	Q9H792	none	Cell junction,Cytoplasm,Cytoskeleton	1|3	oneMulti
Q5XUX1	Q7L5N1	none	Cytoplasm,Nucleus,Signalosome	1|3	oneMulti
A0A1W2PPW3	Q92750	none	Cytoplasm,Nucleus	1|2	oneMulti
P48539	Q8TD86	none	Cytoplasm,Nucleus	1|2	oneMulti
O95363	Q9ULM2	Mitochondrion	Nucleus	1|1	bothSingle
P61266	Q15833	Cytoplasm,Cytoskeleton,Membrane,Nucleus	none	4|1	oneMulti
Q8IU68	Q96Q77	Endoplasmic reticulum,Membrane	none	2|1	oneMulti
Q15506	Q96C74	Membrane	Cell projection,Cilium,Flagellum	1|3	oneMulti
P04626	Q9UKW4	Cell membrane,Cell projection,Cytoplasm,Endosome,Membrane,Nucleus	none	6|1	oneMulti
Q8IYA6	Q9UBU7	Cytoplasm,Cytoskeleton	Nucleus	2|1	oneMulti
Q13214	Q9UIW2	Endoplasmic reticulum,Secreted	Cell membrane,Membrane	2|2	bothMulti
P19022	Q8IYP2	Cell junction,Cell membrane,Membrane	Secreted	3|1	oneMulti
Q8N392	Q96PX9	Cytoplasm	none	1|1	bothSingle
O95711	Q99467	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q86VX9	Q99570	none	Cytoplasmic vesicle,Endosome,Membrane	1|3	oneMulti
Q14008	Q66K64	Centromere,Chromosome,Cytoplasm,Cytoskeleton,Kinetochore	none	5|1	oneMulti
P63027	Q15833	Cell membrane,Cytoplasmic vesicle,Membrane,Synapse	none	4|1	oneMulti
P62745	Q96PY5	Cell membrane,Endosome,Membrane,Nucleus	Cytoplasm	4|1	oneMulti
Q9HBE1	Q9NXC5	Nucleus	Lysosome,Membrane	1|2	oneMulti
Q96SU4	Q9BXB5	Endosome,Golgi apparatus,Membrane	Cytoplasm,Cytoskeleton	3|2	bothMulti
O43676	P40429	Membrane,Mitochondrion,Mitochondrion inner membrane	Cytoplasm	3|1	oneMulti
O94813	Q9ULK0	Secreted	Cell membrane,Membrane,Postsynaptic cell membrane,Synapse	1|4	oneMulti
Q5VU92	Q9C0K7	none	Cytoplasm,Nucleus	1|2	oneMulti
P80188	Q96LC9	Cytoplasmic vesicle,Secreted	none	2|1	oneMulti
Q9UJW9	Q9Y5R4	Nucleus	Mitochondrion	1|1	bothSingle
Q8IY81	Q9Y3U8	Nucleus	Cytoplasm	1|1	bothSingle
A0PJX2	P36543	none	Cell membrane,Cytoplasmic vesicle,Membrane,Synapse	1|4	oneMulti
O75044	P0DMP2	Cell membrane,Cell projection,Cytoplasm,Cytoplasmic vesicle,Membrane,Nucleus,Postsynaptic cell membrane,Synapse	none	8|1	oneMulti
P63010	Q15120	Cell membrane,Coated pit,Membrane	Mitochondrion	3|1	oneMulti
P25090	P49913	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q8TBE0	Q96KG7	Chromosome,Nucleus	Cell membrane,Cell projection,Membrane	2|3	bothMulti
P17813	Q5TBB1	Cell membrane,Membrane	Nucleus	2|1	oneMulti
Q8TAP4	Q9BQ24	none	Cell junction,Cytoplasmic vesicle,Endosome	1|3	oneMulti
Q5TEC6	Q8N806	Chromosome,Nucleosome core,Nucleus	none	3|1	oneMulti
O76015	Q8N3L3	Intermediate filament,Keratin	none	2|1	oneMulti
O95166	P05387	Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Golgi apparatus,Membrane,Microtubule	none	6|1	oneMulti
O94761	Q15388	Cytoplasm,Nucleus	Membrane,Mitochondrion,Mitochondrion outer membrane	2|3	bothMulti
O75581	Q9Y4X0	Cell membrane,Endoplasmic reticulum,Membrane	Nucleus	3|1	oneMulti
Q15118	Q9NQS3	Mitochondrion	Cell membrane,Membrane,Postsynaptic cell membrane,Synapse	1|4	oneMulti
P51809	Q96ER3	Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Golgi apparatus,Lysosome,Membrane,Synapse,Synaptosome	Nucleus	8|1	oneMulti
Q5T4I8	Q86UA1	none	Nucleus	1|1	bothSingle
Q6PIJ6	Q96GF1	Cytoplasm,Nucleus	Endoplasmic reticulum,Membrane,Mitochondrion,Mitochondrion outer membrane	2|4	bothMulti
O75530	Q14596	Chromosome,Nucleus	Cytoplasm,Cytoplasmic vesicle,Lysosome	2|3	bothMulti
O15287	Q13304	Cytoplasm,Nucleus	Cell membrane,Membrane	2|2	bothMulti
P60842	Q53EL6	none	Cytoplasm,Nucleus	1|2	oneMulti
P62910	Q9H9Y2	Cytoplasm	Nucleus	1|1	bothSingle
Q562F6	Q969F0	Centromere,Chromosome,Kinetochore,Nucleus	Endoplasmic reticulum,Membrane,Mitochondrion,Mitochondrion outer membrane	4|4	bothMulti
O75529	P0C7V6	Nucleus	none	1|1	bothSingle
P41223	Q9Y536	Nucleus,Spliceosome	Cytoplasm	2|1	oneMulti
O60812	O75864	Nucleus	none	1|1	bothSingle
P60604	Q9H0F5	Endoplasmic reticulum,Lipid droplet	Nucleus	2|1	oneMulti
O15212	Q8NCW5	none	Mitochondrion,Secreted	1|2	oneMulti
P61088	Q8WWF5	Cytoplasm,Nucleus	Endoplasmic reticulum,Membrane	2|2	bothMulti
Q9BXY4	Q9UGK8	Secreted	Cytoplasm,Nucleus	1|2	oneMulti
P10586	Q9UBM4	Membrane	Extracellular matrix,Secreted	1|2	oneMulti
P63098	Q9Y5W3	Cell membrane,Cytoplasm,Membrane	Nucleus	3|1	oneMulti
P42772	P54826	Cytoplasm	Cell membrane,Membrane	1|2	oneMulti
Q13310	Q9ULR5	Cytoplasm	none	1|1	bothSingle
P62324	Q9UIV1	none	Cytoplasm,Nucleus	1|2	oneMulti
O14782	Q92845	Cytoplasm,Cytoskeleton,Microtubule	none	3|1	oneMulti
Q86V87	Q96ED9	none	Cytoplasm,Cytoskeleton,Golgi apparatus,Microtubule	1|4	oneMulti
Q9BS92	Q9UFN0	none	Cytoplasm	1|1	bothSingle
O15455	Q8IUC6	Endoplasmic reticulum,Endosome,Membrane	Cytoplasm,Cytoplasmic vesicle,Mitochondrion	3|3	bothMulti
O15499	Q9H5X1	Nucleus	Cytoplasm	1|1	bothSingle
P63000	Q9H7P9	Cell membrane,Cell projection,Cytoplasm,Membrane,Nucleus,Synapse	none	6|1	oneMulti
P02751	P08648	Extracellular matrix,Secreted	Cell junction,Cell membrane,Membrane	2|3	bothMulti
O60524	Q9UKR0	Cytoplasm,Nucleus	Secreted	2|1	oneMulti
Q96FW1	Q9Y385	Cytoplasm	Endoplasmic reticulum,Membrane	1|2	oneMulti
O94768	Q01449	Cell membrane,Membrane,Nucleus	none	3|1	oneMulti
Q14832	Q8WXD9	Cell membrane,Membrane	Cytoplasm	2|1	oneMulti
O14595	O15049	Nucleus	Cell projection,Cytoplasmic vesicle	1|2	oneMulti
P60323	Q9UII2	Cytoplasm,Nucleus	Mitochondrion	2|1	oneMulti
C9J202	Q92535	none	Endoplasmic reticulum,Membrane	1|2	oneMulti
Q0D2J5	Q8WXR4	Nucleus	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
Q8IUR7	Q8IVV7	Cytoplasm,Nucleus	none	2|1	oneMulti
P30837	P47895	Mitochondrion	Cytoplasm	1|1	bothSingle
Q5VV67	Q96KB5	Nucleus	none	1|1	bothSingle
A6NLC8	Q16514	none	Nucleus	1|1	bothSingle
Q12816	Q8N140	none	Chromosome,Cytoplasm,Nucleus,Telomere	1|4	oneMulti
P49771	Q9BRX2	Cell membrane,Membrane,Secreted	Cytoplasm	3|1	oneMulti
P62487	Q96Q77	DNA-directed RNA polymerase,Nucleus	none	2|1	oneMulti
Q15208	Q9H8S9	Cytoplasm,Nucleus	none	2|1	oneMulti
Q9NVU0	Q9UHW5	DNA-directed RNA polymerase,Nucleus	none	2|1	oneMulti
P78415	Q96LD8	Nucleus	none	1|1	bothSingle
P62837	Q9Y3C5	none	Cytoplasm,Endosome,Nucleus	1|3	oneMulti
O95644	Q03431	Cytoplasm,Nucleus	Cell membrane,Membrane	2|2	bothMulti
P22362	P51679	Secreted	Cell membrane,Membrane	1|2	oneMulti
O95490	Q13045	Membrane	Cell junction,Cytoplasm,Cytoskeleton,Nucleus	1|4	oneMulti
Q86V87	Q9NUY8	none	Cytoplasmic vesicle,Golgi apparatus	1|2	oneMulti
O60245	O75093	Cell membrane,Membrane	Secreted	2|1	oneMulti
P28715	Q07889	Chromosome,Nucleus	none	2|1	oneMulti
P42574	Q92851	Cytoplasm	none	1|1	bothSingle
P55211	Q14790	none	Cell projection,Cytoplasm,Nucleus	1|3	oneMulti
P41236	P62140	none	Cytoplasm,Nucleus	1|2	oneMulti
P55010	Q14C86	Cytoplasm	Endosome,Membrane	1|2	oneMulti
P38646	Q8NEB9	Cytoplasm,Mitochondrion,Nucleus	Cytoplasmic vesicle,Endosome	3|2	bothMulti
Q86V35	Q9UM19	Cell membrane,Cytoplasm,Golgi apparatus,Membrane	none	4|1	oneMulti
P47755	Q5VZK9	none	Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Membrane	1|5	oneMulti
Q04637	Q8N5X7	Cytoplasm,Nucleus	none	2|1	oneMulti
Q96KJ9	Q9C002	Membrane,Mitochondrion,Mitochondrion inner membrane	Nucleus	3|1	oneMulti
P02008	Q9NZD4	none	Cytoplasm	1|1	bothSingle
I3L273	P82675	Golgi apparatus,Membrane	Mitochondrion	2|1	oneMulti
Q4G0G5	Q9UHD9	Secreted	Cytoplasm,Cytoplasmic vesicle,Membrane,Nucleus	1|4	oneMulti
O60602	Q13077	Cell membrane,Membrane	none	2|1	oneMulti
P01112	Q8IZJ4	Cell membrane,Cytoplasm,Golgi apparatus,Membrane,Nucleus	Cytoplasmic vesicle	5|1	oneMulti
O15480	Q9NXX6	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
P23396	Q9NQ39	Cytoplasm,Cytoskeleton,Membrane,Mitochondrion,Mitochondrion inner membrane,Nucleus	none	6|1	oneMulti
Q96EP0	Q9BYM8	Cytoplasm	none	1|1	bothSingle
O75695	P46379	Cell membrane,Cell projection,Cilium,Membrane	Cytoplasm,Nucleus,Secreted	4|3	bothMulti
O75159	Q504Y2	none	Golgi apparatus,Secreted	1|2	oneMulti
O60885	Q5T8P6	Chromosome,Nucleus	none	2|1	oneMulti
Q8N5I3	Q9Y3T9	Endoplasmic reticulum	Nucleus	1|1	bothSingle
O00212	Q96PY5	Cell membrane,Endosome,Membrane	Cytoplasm	3|1	oneMulti
Q15833	Q15836	none	Endosome,Membrane,Synapse,Synaptosome	1|4	oneMulti
P08134	Q15843	Cell membrane,Membrane	Nucleus	2|1	oneMulti
P26678	Q96A32	Endoplasmic reticulum,Membrane,Mitochondrion,Sarcoplasmic reticulum	none	4|1	oneMulti
Q969J2	Q96JS3	Nucleus	none	1|1	bothSingle
Q13588	Q13905	Membrane,Synapse	Endosome	2|1	oneMulti
O94973	P17987	Cell membrane,Coated pit,Membrane	Cytoplasm,Cytoskeleton	3|2	bothMulti
P41221	Q8J025	Extracellular matrix,Secreted	Cell membrane,Membrane	2|2	bothMulti
P63104	Q00537	Cytoplasm	none	1|1	bothSingle
P41236	P49841	none	Cell membrane,Cytoplasm,Membrane,Nucleus	1|4	oneMulti
Q92902	Q969F9	none	Cytoplasm	1|1	bothSingle
P19105	Q9Y623	none	Cytoplasm,Thick filament	1|2	oneMulti
Q6PGP7	Q6PID6	Cytoplasm,Nucleus	none	2|1	oneMulti
O95997	Q99640	Cytoplasm,Nucleus	Endoplasmic reticulum,Golgi apparatus,Membrane	2|3	bothMulti
Q9BSD3	Q9NRR1	Chromosome,Nucleus	Secreted	2|1	oneMulti
P49771	Q13901	Cell membrane,Membrane,Secreted	Cytoplasm,Nucleus	3|2	bothMulti
P57796	Q13555	Cell projection,Cytoplasm,Synapse	Membrane,Sarcoplasmic reticulum	3|2	bothMulti
P07237	Q99880	Cell membrane,Endoplasmic reticulum,Membrane	Chromosome,Nucleosome core,Nucleus	3|3	bothMulti
A0A2R8Y422	Q9Y263	none	Cytoplasm,Nucleus,Synapse	1|3	oneMulti
Q66K64	Q9Y5K6	none	Cell junction,Cell projection,Cytoplasm,Cytoskeleton	1|4	oneMulti
Q13163	Q9Y2U5	none	Cytoplasm,Nucleus	1|2	oneMulti
Q7Z6J2	Q9H040	Cell membrane,Cytoplasm,Membrane,Postsynaptic cell membrane,Synapse	Chromosome,Nucleus	5|2	bothMulti
P08514	Q9H0F6	Membrane	Cytoplasm,Synapse	1|2	oneMulti
P01009	P08246	Endoplasmic reticulum,Extracellular matrix,Secreted	Cytoplasmic vesicle	3|1	oneMulti
Q5SY68	Q86SG5	none	Cytoplasm	1|1	bothSingle
Q8WW18	Q9UI47	none	Cell junction,Cytoplasm,Cytoskeleton	1|3	oneMulti
O14593	Q4G0W2	Cytoplasm,Nucleus	none	2|1	oneMulti
O14561	Q8WXX5	Mitochondrion	Cell membrane,Cytoplasm,Membrane,Nucleus	1|4	oneMulti
Q14258	Q9Y6Y9	Cytoplasm,Nucleus	Secreted	2|1	oneMulti
P62837	Q9ULK6	none	Membrane	1|1	bothSingle
P00533	Q9P0J1	Cell membrane,Endoplasmic reticulum,Endosome,Golgi apparatus,Membrane,Nucleus,Secreted	Mitochondrion	7|1	oneMulti
P46734	Q9UL54	none	Cell projection,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Membrane,Nucleus	1|6	oneMulti
Q8IXI1	Q9H0E9	Membrane,Mitochondrion,Mitochondrion outer membrane	Nucleus	3|1	oneMulti
P14138	P25101	Secreted	Cell membrane,Membrane	1|2	oneMulti
P05015	P17181	Secreted	Cell membrane,Endosome,Lysosome,Membrane	1|4	oneMulti
Q5BKX5	Q969L4	Cytoplasm	Nucleus	1|1	bothSingle
P00492	Q8N9Q2	Cytoplasm	none	1|1	bothSingle
Q15303	Q9UKW4	Cell membrane,Membrane,Mitochondrion,Nucleus	none	4|1	oneMulti
L0R819	O15212	Cytoplasm	none	1|1	bothSingle
O15294	Q7L4I2	Cell membrane,Cell projection,Cytoplasm,Membrane,Mitochondrion,Nucleus	none	6|1	oneMulti
P55769	P61353	Nucleus,Spliceosome	Cytoplasm,Endoplasmic reticulum	2|2	bothMulti
Q8N5M4	Q96H55	none	Cytoplasm,Cytoskeleton,Membrane,Mitochondrion,Mitochondrion outer membrane	1|5	oneMulti
O60927	P62140	none	Cytoplasm,Nucleus	1|2	oneMulti
O75879	P62308	Mitochondrion	Cytoplasm,Nucleus,Spliceosome	1|3	oneMulti
P48147	Q9H0L4	Cytoplasm	Nucleus	1|1	bothSingle
Q03989	Q9BRT3	Nucleus	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
O15033	P51668	none	Cytoplasm	1|1	bothSingle
O43294	Q14161	Cell junction,Cytoplasm,Cytoskeleton,Nucleus	none	4|1	oneMulti
Q00059	Q96KS0	Mitochondrion,Mitochondrion nucleoid	Nucleus	2|1	oneMulti
Q9BQ90	Q9NQ79	Cytoplasm	Extracellular matrix,Secreted	1|2	oneMulti
O75197	Q9NP95	Endoplasmic reticulum,Membrane	Secreted	2|1	oneMulti
P25445	Q13158	Cell membrane,Membrane,Secreted	none	3|1	oneMulti
Q7Z3E1	Q9UNM6	Nucleus	Proteasome	1|1	bothSingle
